1,200.0
2,200.0
3,200.0
4,200.0
5,189.0
6,200.0
7,200.0
8,191.0
9,200.0
10,200.0
11,200.0
12,200.0
13,185.0
14,200.0
15,200.0
16,200.0
17,178.0
18,198.0
19,200.0
20,199.0
21,190.0
22,200.0
23,200.0
24,200.0
25,200.0
26,200.0
27,200.0
28,200.0
29,200.0
30,200.0
31,200.0
32,200.0
33,200.0
34,198.0
35,194.0
36,200.0
37,200.0
38,200.0
39,200.0
40,200.0
41,200.0
42,200.0
43,200.0
44,200.0
45,200.0
46,200.0
47,200.0
48,195.0
49,200.0
50,200.0
51,200.0
52,200.0
53,200.0
54,200.0
55,200.0
56,200.0
57,200.0
58,200.0
59,200.0
60,200.0
61,200.0
62,184.0
63,200.0
64,200.0
65,200.0
66,200.0
67,200.0
68,200.0
69,200.0
70,196.0
71,200.0
72,200.0
73,200.0
74,200.0
75,197.0
76,186.0
77,200.0
78,200.0
79,200.0
80,200.0
81,200.0
82,200.0
83,200.0
84,200.0
85,200.0
86,200.0
87,199.0
88,200.0
89,200.0
90,200.0
91,195.0
92,198.0
93,200.0
94,189.0
95,191.0
96,187.0
97,200.0
98,182.0
99,200.0
100,200.0
198.21
